사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6831286,2023057,4311111100,43111001,충북 청주시 상당구1,충북 청주시 상당구 석교동(형통한교회 부근),8,8,0,8,0,0,127.490376222359,36.627032070233,"{""type"":""Polygon"",""coordinates"":[[[127.49217285,36.62703207],[127.49213833,36.62675078],[127.49203609,36.62648029],[127.49187007,36.62623101],[127.49164663,36.62601251],[127.49137438,36.6258332],[127.49106376,36.62569995],[127.49072673,36.6256179],[127.49037622,36.6255902],[127.49002572,36.6256179],[127.48968868,36.62569995],[127.48937807,36.6258332],[127.48910581,36.62601251],[127.48888238,36.62623101],[127.48871635,36.62648029],[127.48861411,36.62675078],[127.48857959,36.62703207],[127.48861411,36.62731336],[127.48871635,36.62758384],[127.48888238,36.62783312],[127.48910581,36.62805161],[127.48937807,36.62823092],[127.48968868,36.62836416],[127.49002572,36.62844621],[127.49037622,36.62847392],[127.49072673,36.62844621],[127.49106376,36.62836416],[127.49137438,36.62823092],[127.49164663,36.62805161],[127.49187007,36.62783312],[127.49203609,36.62758384],[127.49213833,36.62731336],[127.49217285,36.62703207]]]}"
6831330,2023057,4311111100,43111002,충북 청주시 상당구2,충북 청주시 상당구 석교동(중앙상인회 부근),5,5,1,4,0,0,127.487893750061,36.627733583152,"{""type"":""Polygon"",""coordinates"":[[[127.48969038,36.62773358],[127.48965586,36.62745229],[127.48955362,36.62718181],[127.48938759,36.62693253],[127.48916416,36.62671404],[127.4888919,36.62653472],[127.48858129,36.62640148],[127.48824426,36.62631943],[127.48789375,36.62629172],[127.48754324,36.62631943],[127.48720621,36.62640148],[127.4868956,36.62653472],[127.48662334,36.62671404],[127.48639991,36.62693253],[127.48623388,36.62718181],[127.48613164,36.62745229],[127.48609712,36.62773358],[127.48613164,36.62801487],[127.48623388,36.62828535],[127.48639991,36.62853463],[127.48662334,36.62875312],[127.4868956,36.62893243],[127.48720621,36.62906567],[127.48754324,36.62914771],[127.48789375,36.62917542],[127.48824426,36.62914771],[127.48858129,36.62906567],[127.4888919,36.62893243],[127.48916416,36.62875312],[127.48938759,36.62853463],[127.48955362,36.62828535],[127.48965586,36.62801487],[127.48969038,36.62773358]]]}"
6831116,2023057,4311210700,43112001,충북 청주시 서원구1,충북 청주시 서원구 수곡동(배꼽어린이집 부근),6,8,0,8,0,0,127.473194939824,36.617484298761,"{""type"":""Polygon"",""coordinates"":[[[127.47499157,36.6174843],[127.47495705,36.61720297],[127.47485481,36.61693245],[127.47468878,36.61668314],[127.47446535,36.61646462],[127.47419309,36.61628528],[127.47388248,36.61615202],[127.47354545,36.61606995],[127.47319494,36.61604225],[127.47284443,36.61606995],[127.4725074,36.61615202],[127.47219679,36.61628528],[127.47192453,36.61646462],[127.4717011,36.61668314],[127.47153507,36.61693245],[127.47143283,36.61720297],[127.47139831,36.6174843],[127.47143283,36.61776563],[127.47153507,36.61803614],[127.4717011,36.61828545],[127.47192453,36.61850397],[127.47219679,36.6186833],[127.4725074,36.61881656],[127.47284443,36.61889862],[127.47319494,36.61892632],[127.47354545,36.61889862],[127.47388248,36.61881656],[127.47419309,36.6186833],[127.47446535,36.61850397],[127.47468878,36.61828545],[127.47485481,36.61803614],[127.47495705,36.61776563],[127.47499157,36.6174843]]]}"
6831145,2023057,4311210200,43112002,충북 청주시 서원구2,충북 청주시 서원구 사창동(목양교회 부근),5,5,0,5,0,0,127.46436604371,36.63441763548,"{""type"":""Polygon"",""coordinates"":[[[127.46616267,36.63441764],[127.46612815,36.63413637],[127.46602591,36.63386591],[127.46585989,36.63361665],[127.46563645,36.63339818],[127.4653642,36.63321888],[127.46505358,36.63308565],[127.46471655,36.6330036],[127.46436604,36.6329759],[127.46401554,36.6330036],[127.4636785,36.63308565],[127.46336789,36.63321888],[127.46309563,36.63339818],[127.4628722,36.63361665],[127.46270617,36.63386591],[127.46260393,36.63413637],[127.46256941,36.63441764],[127.46260393,36.6346989],[127.46270617,36.63496936],[127.4628722,36.63521861],[127.46309563,36.63543708],[127.46336789,36.63561637],[127.4636785,36.6357496],[127.46401554,36.63583164],[127.46436604,36.63585934],[127.46471655,36.63583164],[127.46505358,36.6357496],[127.4653642,36.63561637],[127.46563645,36.63543708],[127.46585989,36.63521861],[127.46602591,36.63496936],[127.46612815,36.6346989],[127.46616267,36.63441764]]]}"
6928899,2024044,4311111100,43111001,충북 청주시 상당구1,충북 청주시 상당구 석교동(상당건강약국 부근),8,8,0,8,0,0,127.490376222359,36.627032070233,"{""type"":""Polygon"",""coordinates"":[[[127.49217285,36.62681315],[127.49213833,36.62653063],[127.49203609,36.62625898],[127.49187007,36.62600862],[127.49164663,36.62578917],[127.49137438,36.62560908],[127.49106376,36.62547526],[127.49072673,36.62539285],[127.49037622,36.62536502],[127.49002572,36.62539285],[127.48968868,36.62547526],[127.48937807,36.62560908],[127.48910581,36.62578917],[127.48888238,36.62600862],[127.48871635,36.62625898],[127.48861411,36.62653063],[127.48857959,36.62681315],[127.48861411,36.62709566],[127.48871635,36.62736731],[127.48888238,36.62761767],[127.48910581,36.62783711],[127.48937807,36.6280172],[127.48968868,36.62815101],[127.49002572,36.62823342],[127.49037622,36.62826124],[127.49072673,36.62823342],[127.49106376,36.62815101],[127.49137438,36.6280172],[127.49164663,36.62783711],[127.49187007,36.62761767],[127.49203609,36.62736731],[127.49213833,36.62709566],[127.49217285,36.62681315]]]}"
6928997,2024044,4311311300,43113001,충북 청주시 흥덕구1,충북 청주시 흥덕구 가경동(서부소방서사거리 부근),5,5,0,5,0,0,127.436485182606,36.628191254357,"{""type"":""Polygon"",""coordinates"":[[[127.43828181,36.62797232],[127.43824729,36.62768981],[127.43814505,36.62741816],[127.43797903,36.6271678],[127.43775559,36.62694836],[127.43748334,36.62676827],[127.43717272,36.62663445],[127.43683569,36.62655204],[127.43648518,36.62652422],[127.43613468,36.62655204],[127.43579764,36.62663445],[127.43548703,36.62676827],[127.43521477,36.62694836],[127.43499134,36.6271678],[127.43482531,36.62741816],[127.43472307,36.62768981],[127.43468855,36.62797232],[127.43472307,36.62825482],[127.43482531,36.62852647],[127.43499134,36.62877683],[127.43521477,36.62899626],[127.43548703,36.62917635],[127.43579764,36.62931016],[127.43613468,36.62939257],[127.43648518,36.62942039],[127.43683569,36.62939257],[127.43717272,36.62931016],[127.43748334,36.62917635],[127.43775559,36.62899626],[127.43797903,36.62877683],[127.43814505,36.62852647],[127.43824729,36.62825482],[127.43828181,36.62797232]]]}"
