사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6838202,2023060,4311111100,43111001,충북 청주시 상당구1,충북 청주시 상당구 석교동(형통한교회 부근),11,11,0,11,0,0,127.490376222359,36.627032070233,"{""type"":""Polygon"",""coordinates"":[[[127.49127454,36.62703207],[127.49125728,36.62689142],[127.49120616,36.62675618],[127.49112314,36.62663154],[127.49101143,36.62652229],[127.4908753,36.62643264],[127.49071999,36.62636601],[127.49055147,36.62632499],[127.49037622,36.62631114],[127.49020097,36.62632499],[127.49003245,36.62636601],[127.48987715,36.62643264],[127.48974102,36.62652229],[127.4896293,36.62663154],[127.48954629,36.62675618],[127.48949517,36.62689142],[127.48947791,36.62703207],[127.48949517,36.62717272],[127.48954629,36.62730796],[127.4896293,36.6274326],[127.48974102,36.62754184],[127.48987715,36.6276315],[127.49003245,36.62769812],[127.49020097,36.62773914],[127.49037622,36.627753],[127.49055147,36.62773914],[127.49071999,36.62769812],[127.4908753,36.6276315],[127.49101143,36.62754184],[127.49112314,36.6274326],[127.49120616,36.62730796],[127.49125728,36.62717272],[127.49127454,36.62703207]]]}"
6838284,2023060,4311210200,43112001,충북 청주시 서원구1,충북 청주시 서원구 사창동(사창동행정복지센터 부근),7,7,0,7,0,0,127.459349740585,36.633663390357,"{""type"":""Polygon"",""coordinates"":[[[127.46024806,36.63366339],[127.46023079,36.63352276],[127.46017968,36.63338753],[127.46009666,36.6332629],[127.45998495,36.63315366],[127.45984882,36.63306401],[127.45969351,36.63299739],[127.45952499,36.63295637],[127.45934974,36.63294252],[127.45917449,36.63295637],[127.45900597,36.63299739],[127.45885066,36.63306401],[127.45871454,36.63315366],[127.45860282,36.6332629],[127.45851981,36.63338753],[127.45846869,36.63352276],[127.45845143,36.63366339],[127.45846869,36.63380402],[127.45851981,36.63393925],[127.45860282,36.63406388],[127.45871454,36.63417312],[127.45885066,36.63426277],[127.45900597,36.63432938],[127.45917449,36.6343704],[127.45934974,36.63438426],[127.45952499,36.6343704],[127.45969351,36.63432938],[127.45984882,36.63426277],[127.45998495,36.63417312],[127.46009666,36.63406388],[127.46017968,36.63393925],[127.46023079,36.63380402],[127.46024806,36.63366339]]]}"
6838152,2023060,4311210200,43112002,충북 청주시 서원구2,충북 청주시 서원구 사창동(우리사랑교회 부근),7,7,0,7,0,0,127.459600434219,36.635685192384,"{""type"":""Polygon"",""coordinates"":[[[127.46049875,36.63568519],[127.46048149,36.63554456],[127.46043037,36.63540933],[127.46034736,36.63528471],[127.46023564,36.63517547],[127.46009951,36.63508583],[127.4599442,36.63501921],[127.45977569,36.63497819],[127.45960043,36.63496434],[127.45942518,36.63497819],[127.45925666,36.63501921],[127.45910136,36.63508583],[127.45896523,36.63517547],[127.45885351,36.63528471],[127.4587705,36.63540933],[127.45871938,36.63554456],[127.45870212,36.63568519],[127.45871938,36.63582582],[127.4587705,36.63596105],[127.45885351,36.63608567],[127.45896523,36.63619491],[127.45910136,36.63628455],[127.45925666,36.63635117],[127.45942518,36.63639219],[127.45960043,36.63640604],[127.45977569,36.63639219],[127.4599442,36.63635117],[127.46009951,36.63628455],[127.46023564,36.63619491],[127.46034736,36.63608567],[127.46043037,36.63596105],[127.46048149,36.63582582],[127.46049875,36.63568519]]]}"
6838170,2023060,4311210700,43112003,충북 청주시 서원구3,충북 청주시 서원구 수곡동(배꼽어린이집 부근),7,9,0,9,0,0,127.473194939824,36.617484298761,"{""type"":""Polygon"",""coordinates"":[[[127.47409326,36.6174843],[127.47407599,36.61734363],[127.47402487,36.61720838],[127.47394186,36.61708372],[127.47383014,36.61697446],[127.47369402,36.61688479],[127.47353871,36.61681816],[127.47337019,36.61677713],[127.47319494,36.61676328],[127.47301969,36.61677713],[127.47285117,36.61681816],[127.47269586,36.61688479],[127.47255973,36.61697446],[127.47244802,36.61708372],[127.472365,36.61720838],[127.47231389,36.61734363],[127.47229662,36.6174843],[127.47231389,36.61762496],[127.472365,36.61776022],[127.47244802,36.61788487],[127.47255973,36.61799414],[127.47269586,36.6180838],[127.47285117,36.61815043],[127.47301969,36.61819146],[127.47319494,36.61820532],[127.47337019,36.61819146],[127.47353871,36.61815043],[127.47369402,36.6180838],[127.47383014,36.61799414],[127.47394186,36.61788487],[127.47402487,36.61776022],[127.47407599,36.61762496],[127.47409326,36.6174843]]]}"
6838233,2023060,4311210200,43112004,충북 청주시 서원구4,충북 청주시 서원구 사창동(목양교회 부근),7,7,0,7,0,0,127.46436604371,36.63441763548,"{""type"":""Polygon"",""coordinates"":[[[127.46526436,36.63441764],[127.4652471,36.634277],[127.46519598,36.63414177],[127.46511297,36.63401715],[127.46500125,36.63390791],[127.46486512,36.63381826],[127.46470981,36.63375164],[127.4645413,36.63371062],[127.46436604,36.63369677],[127.46419079,36.63371062],[127.46402227,36.63375164],[127.46386697,36.63381826],[127.46373084,36.63390791],[127.46361912,36.63401715],[127.46353611,36.63414177],[127.46348499,36.634277],[127.46346773,36.63441764],[127.46348499,36.63455827],[127.46353611,36.6346935],[127.46361912,36.63481812],[127.46373084,36.63492736],[127.46386697,36.63501701],[127.46402227,36.63508362],[127.46419079,36.63512464],[127.46436604,36.63513849],[127.4645413,36.63512464],[127.46470981,36.63508362],[127.46486512,36.63501701],[127.46500125,36.63492736],[127.46511297,36.63481812],[127.46519598,36.6346935],[127.4652471,36.63455827],[127.46526436,36.63441764]]]}"
6932058,2024051,4311111100,43111001,충북 청주시 상당구1,충북 청주시 상당구 석교동(상당건강약국 부근),9,9,0,9,0,0,127.490376222359,36.627032070233,"{""type"":""Polygon"",""coordinates"":[[[127.49127454,36.62681315],[127.49125728,36.62667189],[127.49120616,36.62653606],[127.49112314,36.62641088],[127.49101143,36.62630116],[127.4908753,36.62621112],[127.49071999,36.6261442],[127.49055147,36.626103],[127.49037622,36.62608909],[127.49020097,36.626103],[127.49003245,36.6261442],[127.48987715,36.62621112],[127.48974102,36.62630116],[127.4896293,36.62641088],[127.48954629,36.62653606],[127.48949517,36.62667189],[127.48947791,36.62681315],[127.48949517,36.6269544],[127.48954629,36.62709023],[127.4896293,36.62721541],[127.48974102,36.62732513],[127.48987715,36.62741517],[127.49003245,36.62748208],[127.49020097,36.62752329],[127.49037622,36.6275372],[127.49055147,36.62752329],[127.49071999,36.62748208],[127.4908753,36.62741517],[127.49101143,36.62732513],[127.49112314,36.62721541],[127.49120616,36.62709023],[127.49125728,36.6269544],[127.49127454,36.62681315]]]}"
