사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6931220,2024049,4311210900,43112001,충북 청주시 서원구1,충북 청주시 서원구 개신동(개신오거리 부근),3,7,0,5,2,0,127.463812816476,36.624566424607,"{""type"":""Polygon"",""coordinates"":[[[127.46560945,36.62434753],[127.46557493,36.62406501],[127.46547269,36.62379335],[127.46530666,36.62354298],[127.46508323,36.62332352],[127.46481097,36.62314343],[127.46450036,36.6230096],[127.46416332,36.62292719],[127.46381282,36.62289936],[127.46346231,36.62292719],[127.46312528,36.6230096],[127.46281466,36.62314343],[127.46254241,36.62332352],[127.46231897,36.62354298],[127.46215295,36.62379335],[127.46205071,36.62406501],[127.46201619,36.62434753],[127.46205071,36.62463005],[127.46215295,36.62490172],[127.46231897,36.62515208],[127.46254241,36.62537153],[127.46281466,36.62555162],[127.46312528,36.62568544],[127.46346231,36.62576785],[127.46381282,36.62579567],[127.46416332,36.62576785],[127.46450036,36.62568544],[127.46481097,36.62555162],[127.46508323,36.62537153],[127.46530666,36.62515208],[127.46547269,36.62490172],[127.46557493,36.62463005],[127.46560945,36.62434753]]]}"
6931159,2024049,4311210400,43112002,충북 청주시 서원구2,충북 청주시 서원구 산남동(산남사거리 부근),3,5,0,5,0,0,127.470521602192,36.61607422967,"{""type"":""Polygon"",""coordinates"":[[[127.47231823,36.61585544],[127.47228371,36.61557289],[127.47218147,36.6153012],[127.47201545,36.6150508],[127.47179201,36.61483132],[127.47151976,36.6146512],[127.47120914,36.61451736],[127.47087211,36.61443494],[127.4705216,36.61440711],[127.4701711,36.61443494],[127.46983406,36.61451736],[127.46952345,36.6146512],[127.46925119,36.61483132],[127.46902776,36.6150508],[127.46886173,36.6153012],[127.46875949,36.61557289],[127.46872497,36.61585544],[127.46875949,36.616138],[127.46886173,36.61640969],[127.46902776,36.61666008],[127.46925119,36.61687955],[127.46952345,36.61705967],[127.46983406,36.6171935],[127.4701711,36.61727592],[127.4705216,36.61730375],[127.47087211,36.61727592],[127.47120914,36.6171935],[127.47151976,36.61705967],[127.47179201,36.61687955],[127.47201545,36.61666008],[127.47218147,36.61640969],[127.47228371,36.616138],[127.47231823,36.61585544]]]}"
6931122,2024049,4311210800,43112003,충북 청주시 서원구3,충북 청주시 서원구 성화동(구룡산사거리 부근),3,3,0,3,0,0,127.453631020551,36.61382862326,"{""type"":""Polygon"",""coordinates"":[[[127.45542765,36.61360987],[127.45539313,36.6133273],[127.45529089,36.6130556],[127.45512486,36.6128052],[127.45490143,36.61258571],[127.45462918,36.61240559],[127.45431856,36.61227175],[127.45398153,36.61218932],[127.45363102,36.61216149],[127.45328052,36.61218932],[127.45294348,36.61227175],[127.45263287,36.61240559],[127.45236061,36.61258571],[127.45213718,36.6128052],[127.45197115,36.6130556],[127.45186891,36.6133273],[127.45183439,36.61360987],[127.45186891,36.61389243],[127.45197115,36.61416413],[127.45213718,36.61441453],[127.45236061,36.614634],[127.45263287,36.61481412],[127.45294348,36.61494796],[127.45328052,36.61503038],[127.45363102,36.61505821],[127.45398153,36.61503038],[127.45431856,36.61494796],[127.45462918,36.61481412],[127.45490143,36.614634],[127.45512486,36.61441453],[127.45529089,36.61416413],[127.45539313,36.61389243],[127.45542765,36.61360987]]]}"
6931105,2024049,4311310500,43113001,충북 청주시 흥덕구1,충북 청주시 흥덕구 신봉동(농수산물시장삼거리 부근),3,7,0,5,2,0,127.466693967022,36.64914921069,"{""type"":""Polygon"",""coordinates"":[[[127.4684906,36.64893001],[127.46845608,36.64864758],[127.46835384,36.648376],[127.46818781,36.64812571],[127.46796438,36.64790633],[127.46769212,36.64772629],[127.46738151,36.64759251],[127.46704447,36.64751012],[127.46669397,36.64748231],[127.46634346,36.64751012],[127.46600643,36.64759251],[127.46569581,36.64772629],[127.46542356,36.64790633],[127.46520012,36.64812571],[127.4650341,36.648376],[127.46493186,36.64864758],[127.46489734,36.64893001],[127.46493186,36.64921244],[127.4650341,36.64948401],[127.46520012,36.6497343],[127.46542356,36.64995367],[127.46569581,36.65013371],[127.46600643,36.65026749],[127.46634346,36.65034987],[127.46669397,36.65037768],[127.46704447,36.65034987],[127.46738151,36.65026749],[127.46769212,36.65013371],[127.46796438,36.64995367],[127.46818781,36.6497343],[127.46835384,36.64948401],[127.46845608,36.64921244],[127.4684906,36.64893001]]]}"
6931113,2024049,4311425332,43114001,충북 청주시 청원구1,충북 청주시 청원구 오창읍(삼식이네등갈비 부근),3,4,0,4,0,0,127.45032327383,36.732071564853,"{""type"":""Polygon"",""coordinates"":[[[127.4521199,36.73185132],[127.45208538,36.7315692],[127.45198314,36.73129791],[127.45181712,36.7310479],[127.45159368,36.73082875],[127.45132143,36.73064891],[127.45101081,36.73051527],[127.45067378,36.73043298],[127.45032327,36.73040519],[127.44997277,36.73043298],[127.44963573,36.73051527],[127.44932512,36.73064891],[127.44905286,36.73082875],[127.44882943,36.7310479],[127.4486634,36.73129791],[127.44856117,36.7315692],[127.44852664,36.73185132],[127.44856117,36.73213344],[127.4486634,36.73240472],[127.44882943,36.73265473],[127.44905286,36.73287387],[127.44932512,36.73305371],[127.44963573,36.73318734],[127.44997277,36.73326963],[127.45032327,36.73329742],[127.45067378,36.73326963],[127.45101081,36.73318734],[127.45132143,36.73305371],[127.45159368,36.73287387],[127.45181712,36.73265473],[127.45198314,36.73240472],[127.45208538,36.73213344],[127.4521199,36.73185132]]]}"
6930999,2024049,4311410200,43114002,충북 청주시 청원구2,충북 청주시 청원구 내덕동(청주농고사거리 부근),3,3,0,3,0,0,127.480765359688,36.66056524581,"{""type"":""Polygon"",""coordinates"":[[[127.48256199,36.6603459],[127.48252747,36.66006351],[127.48242523,36.65979197],[127.4822592,36.65954172],[127.48203577,36.65932238],[127.48176351,36.65914236],[127.4814529,36.6590086],[127.48111586,36.65892623],[127.48076536,36.65889841],[127.48041485,36.65892623],[127.48007782,36.6590086],[127.47976721,36.65914236],[127.47949495,36.65932238],[127.47927152,36.65954172],[127.47910549,36.65979197],[127.47900325,36.66006351],[127.47896873,36.6603459],[127.47900325,36.66062829],[127.47910549,36.66089982],[127.47927152,36.66115007],[127.47949495,36.66136941],[127.47976721,36.66154942],[127.48007782,36.66168318],[127.48041485,36.66176555],[127.48076536,36.66179336],[127.48111586,36.66176555],[127.4814529,36.66168318],[127.48176351,36.66154942],[127.48203577,36.66136941],[127.4822592,36.66115007],[127.48242523,36.66089982],[127.48252747,36.66062829],[127.48256199,36.6603459]]]}"
