다발지역 에프아이디(FID),다발지역 아이디(ID),시도 구분 아이디(ID),시도명,시구군 구분 아이디(ID),시구군명,읍면동 구분 ID,읍면동명,사고종류,법정동 코드,지점 코드,시도시구군명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,대상
6104220,2015052,43,충청북도,113,청주흥덕구,115,봉명동,JAYWALKING,4311311500,151343001,충북 청주흥덕1,충청북도 청주시 흥덕구 봉명동(봉명사거리 부근),11,11,1,8,2,0,127.4621598,36.64291093,기타
6107943,2016040,43,충청북도,114,청주청원구,102,내덕동,SCHOOLZONE,4311410200,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 내덕동(내덕초교 부근),2,2,0,1,1,0,127.4948754,36.65756471,어린이
6138867,2016040,43,충청북도,111,청주상당구,124,용암동,SCHOOLZONE,4311112400,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 용암동(상당초교 부근),2,2,0,0,2,0,127.5094466,36.60878012,어린이
6165104,2016044,43,충청북도,111,청주상당구,112,수동,CHILD,4311111200,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 수동((청주상공회의소) 부근),3,4,0,3,1,0,127.4901897,36.63807406,어린이
6165428,2016044,43,충청북도,114,청주청원구,103,율량동,CHILD,4311410300,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 율량동((신동아아파트3동) 부근),3,3,0,1,2,0,127.4794659,36.66630755,어린이
6169593,2016044,43,충청북도,114,청주청원구,105,주성동,CHILD,4311410500,43114002,충청북도 청주시 청원구2,충청북도 청주시 청원구 주성동(율량대원칸타빌1차아파트 부근),3,3,0,1,2,0,127.497846,36.67230022,어린이
6169594,2016044,43,충청북도,114,청주청원구,102,내덕동,CHILD,4311410200,43114003,충청북도 청주시 청원구3,충청북도 청주시 청원구 내덕동((예대로광명로) 부근),3,3,0,1,2,0,127.4936395,36.65775539,어린이
6222448,2016146,43,충청북도,111,청주상당구,111,석교동,OLDMAN,4311111100,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 석교동(창문외과의원 부근),7,8,0,5,3,0,127.491589,36.62808947,노약자
6222449,2016146,43,충청북도,113,청주흥덕구,115,봉명동,OLDMAN,4311311500,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 봉명동(봉명사거리 부근),6,6,1,4,1,0,127.4635185,36.64327619,노약자
6222450,2016146,43,충청북도,113,청주흥덕구,114,복대동,OLDMAN,4311311400,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 복대동(김밥마당 부근),4,5,0,4,0,1,127.4395464,36.63254762,노약자
6222451,2016146,43,충청북도,114,청주청원구,103,율량동,OLDMAN,4311410300,43114002,충청북도 청주시 청원구2,충청북도 청주시 청원구 율량동(- 인근),4,4,2,1,1,0,127.4845852,36.66919671,노약자
6222452,2016146,43,충청북도,114,청주청원구,101,우암동,OLDMAN,4311410100,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 우암동(우암사거리 부근),6,6,0,3,3,0,127.4860016,36.64951823,노약자
6222538,2016146,43,충청북도,111,청주상당구,112,수동,OLDMAN,4311111200,43111003,충청북도 청주시 상당구3,충청북도 청주시 상당구 수동((청수빌딩) 부근),5,6,0,3,3,0,127.4919569,36.64040908,노약자
6222678,2016146,43,충청북도,111,청주상당구,108,서운동,OLDMAN,4311110800,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 서운동((중부매일) 부근),5,5,1,0,3,1,127.4929644,36.63224157,노약자
6222884,2016146,43,충청북도,111,청주상당구,120,금천동,OLDMAN,4311112000,43111004,충청북도 청주시 상당구4,충청북도 청주시 상당구 금천동((진주아파트A동) 부근),4,4,2,0,2,0,127.4943185,36.62353315,노약자
6223353,2016147,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113003,충청북도 청주시 흥덕구3,충청북도 청주시 흥덕구 복대동(산업단지육거리 부근),4,4,0,1,3,0,127.4491171,36.63350202,기타
6223423,2016147,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113004,충청북도 청주시 흥덕구4,충청북도 청주시 흥덕구 복대동((목련길진재마루길) 부근),4,4,0,1,3,0,127.4293595,36.63551739,기타
6223435,2016147,43,충청북도,111,청주상당구,119,영운동,BICYCLE,4311111900,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 영운동(중동교 부근),5,5,0,0,5,0,127.5044762,36.61749935,기타
6223440,2016147,43,충청북도,114,청주청원구,102,내덕동,BICYCLE,4311410200,43114002,충청북도 청주시 청원구2,충청북도 청주시 청원구 내덕동(제2운천교사거리 부근),5,5,0,1,4,0,127.4732201,36.65633412,기타
6223441,2016147,43,충청북도,113,청주흥덕구,113,가경동,BICYCLE,4311311300,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 가경동(도곡한의원앞 부근),5,6,0,2,4,0,127.4307325,36.62231386,기타
6223442,2016147,43,충청북도,113,청주흥덕구,115,봉명동,BICYCLE,4311311500,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 봉명동(봉명1동사거리 부근),5,5,0,2,3,0,127.4606,36.64038575,기타
6223443,2016147,43,충청북도,114,청주청원구,102,내덕동,BICYCLE,4311410200,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 내덕동(율량교사거리 부근),5,5,0,2,3,0,127.4933252,36.66514286,기타
6242839,2017029,43,충청북도,111,청주상당구,124,용암동,OLDMAN,4311112400,43111005,충청북도 청주시 상당구5,충청북도 청주시 상당구 용암동((현대3차아파트305동) 부근),3,3,0,1,2,0,127.5047636,36.61022704,노약자
6243053,2017029,43,충청북도,111,청주상당구,124,용암동,OLDMAN,4311112400,43111003,충청북도 청주시 상당구3,충청북도 청주시 상당구 용암동(태산아파트앞 부근),4,5,1,2,2,0,127.5109365,36.61292212,노약자
6243208,2017029,43,충청북도,114,청주청원구,103,율량동,OLDMAN,4311410300,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 율량동((신동아아파트3동) 부근),3,3,0,2,1,0,127.479947,36.66648793,노약자
6243294,2017029,43,충청북도,113,청주흥덕구,139,석소동,OLDMAN,4311313900,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 석소동(청주IC입구 인근),2,2,2,0,0,0,127.3818553,36.62097756,노약자
6251514,2017029,43,충청북도,111,청주상당구,105,남문로1가동,OLDMAN,4311110500,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 남문로1가동(직지고속관광운수(주) 부근),11,11,0,10,1,0,127.4914031,36.62845902,노약자
6251516,2017029,43,충청북도,111,청주상당구,102,북문로1가동,OLDMAN,4311110200,43111002,충청북도 청주시 상당구2,충청북도 청주시 상당구 북문로1가동(제일은행청주지점 부근),8,9,0,6,3,0,127.4887934,36.63558552,노약자
6251518,2017029,43,충청북도,111,청주상당구,117,탑동,OLDMAN,4311111700,43111004,충청북도 청주시 상당구4,충청북도 청주시 상당구 탑동((굿모닝메디칼) 부근),3,5,0,2,3,0,127.5031177,36.63057265,노약자
6251519,2017029,43,충청북도,113,청주흥덕구,115,봉명동,OLDMAN,4311311500,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 봉명동(봉명사거리 부근),2,2,1,1,0,0,127.4625889,36.64298107,노약자
6302399,2017050,43,충청북도,111,청주상당구,119,영운동,BICYCLE,4311111900,43111003,충청북도 청주시 상당구3,충청북도 청주시 상당구 영운동((안상선내과) 부근),4,4,0,3,1,0,127.4981212,36.61852093,기타
6302737,2017050,43,충청북도,113,청주흥덕구,114,복대동,BICYCLE,4311311400,43113002,충청북도 청주시 흥덕구2,충청북도 청주시 흥덕구 복대동((덕일아파트4동) 부근),4,4,0,0,3,1,127.4409893,36.62815238,기타
